DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,GADM Admin Units,Entry Date,Last Update
2020-0325-IDN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,IDN,Indonesia,South-eastern Asia,Asia,"Luwu Utara District (North Luwu Regency, South Sulawesi); West Kalimantan province",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2020,7,3,2020,7,31,105,51,14483,,14534,,,,,10000,12120,82.5056838488024,"[{""adm1_code"":1522,""adm1_name"":""Kalimantan Barat""},{""adm2_code"":73778,""adm2_name"":""Luwu Utara""}]","[{""gid_1"":""IDN.12_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Kalimantan Barat""},{""gid_2"":""IDN.26.10_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Luwu Utara""}]",2020-08-10,2025-12-20
2020-0333-KOR,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2020-000187,,KOR,Republic of Korea,Eastern Asia,Asia,North Chungcheong and Gyeonggi Provinces,Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2020,8,1,2020,8,12,42,,6000,,6000,,,,,420000,509056,82.5056838488024,"[{""adm1_code"":2434,""adm1_name"":""Chungchongbuk-do""},{""adm1_code"":2439,""adm1_name"":""Kyonggi-do""}]","[{""gid_1"":""KOR.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Chungcheongbuk-do""},{""gid_1"":""KOR.8_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Gyeonggi-do""}]",2020-08-12,2025-12-20
2020-0357-PAK,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2020-000185,,PAK,Pakistan,Southern Asia,Asia,"Sindh province, Khyber Pakhtunkhwa, Baluchistan",Monsoon rain,"Slide (land, mud, snow, rock)",No,No,Yes,,,Km2,,,,2020,8,1,2020,9,,410,170,1550000,,1550170,,,,,1500000,1818057,82.5056838488024,"[{""adm1_code"":2272,""adm1_name"":""Balochistan""},{""adm1_code"":2273,""adm1_name"":""Federally Administered Tribal Areas""},{""adm1_code"":2275,""adm1_name"":""North-West Frontier""},{""adm1_code"":2277,""adm1_name"":""Sindh""}]","[{""gid_1"":""PAK.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Balochistan""},{""gid_1"":""PAK.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Khyber-Pakhtunkhwa""},{""gid_1"":""PAK.8_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Sindh""},{""gid_2"":""PAK.3.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""F.A.T.A.""}]",2020-08-17,2025-12-20
2020-0362-SSD,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2019-000062,,SSD,South Sudan,Sub-Saharan Africa,Africa,"Bor South, Twic East, Duk, Ayod Countie (Jonglei); Renk county (Eastern Nile); Pochallla county (Pibor); Lakes (El Buhyerat), Unity, Upper Nile, Warrap, Western Equatoria, Central Equatoria, Northern Bahr-el-Ghazal",Heavy rains,,No,No,No,,,Km2,,,"White Nile, Akobo River",2020,7,,2020,12,,,,1042000,,1042000,,,,,,,82.5056838488024,"[{""adm1_code"":2746,""adm1_name"":""El Buheyrat""},{""adm1_code"":2747,""adm1_name"":""Unity""},{""adm1_code"":2748,""adm1_name"":""Central Equatoria""},{""adm1_code"":2754,""adm1_name"":""Northern Bahr El Ghazal""},{""adm1_code"":2765,""adm1_name"":""Warab""},{""adm1_code"":2768,""adm1_name"":""Western Equatoria""},{""adm1_code"":37021,""adm1_name"":""Upper Nile""},{""adm2_code"":37052,""adm2_name"":""Ayod""},{""adm2_code"":37053,""adm2_name"":""Bor""},{""adm2_code"":37056,""adm2_name"":""Pibor""}]","[{""gid_1"":""SSD.10_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""West Equatoria""},{""gid_1"":""SSD.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Central Equatoria""},{""gid_1"":""SSD.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Lakes""},{""gid_1"":""SSD.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Unity""},{""gid_1"":""SSD.7_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Upper Nile""},{""gid_2"":""SSD.3.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Ayod""},{""gid_2"":""SSD.3.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Bor""},{""gid_2"":""SSD.3.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Pibor""},{""gid_2"":""SSD.5.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Aryat""},{""gid_2"":""SSD.5.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Aweil""},{""gid_2"":""SSD.5.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Nahr Lol""},{""gid_2"":""SSD.5.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Wanjuk""},{""gid_2"":""SSD.8.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Gogrial""},{""gid_2"":""SSD.8.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Malek""},{""gid_2"":""SSD.8.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Tonj""},{""gid_2"":""SSD.8.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""puzzle1_2"",""name_2"":""Warab""}]",2020-08-17,2025-12-20
2020-0365-ITA,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,ITA,Italy,Southern Europe,Europe,"Chiareggio Locality (Sondrio Province, Lombardy region)",Heavy rains,,No,No,No,,,,,,,2020,8,12,2020,8,12,3,2,180,,182,,,,,,,82.5056838488024,"[{""adm2_code"":18365,""adm2_name"":""Sondrio""}]","[{""gid_2"":""ITA.10.11_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Sondrio""}]",2020-08-17,2025-12-20
2020-0495-PAN,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2020-000227,Hurricane 'Iota',PAN,Panama,Latin America and the Caribbean,Americas,"Nole Duima, Soloy (Ngäbe-Buglé Comarca)",,,No,No,No,,,Kph,,,,2020,11,17,2020,11,18,4,,,,,,,,,,,82.5056838488024,"[{""adm2_code"":93683,""adm2_name"":""Besiko""},{""adm2_code"":93688,""adm2_name"":""Nole Duima""}]","[{""gid_2"":""PAN.10.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Besiko""},{""gid_2"":""PAN.10.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Nole Duima""}]",2020-11-24,2025-12-20
2020-0411-VNM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:FL-2020-000211,Tropical storm Linfa,VNM,Viet Nam,South-eastern Asia,Asia,"Da Nang, Ha Tinh, Quang Bình, Quang Nam, Quang Tri, Thua Thien-Hue, Nghe An, Da Nang, Quang Nam, Quang Ngai, Binh Dinh, Kon Tum, Gia Lai, Dak Lak, Lam Dong, Phu Yen provinces",,Flood,No,Yes,No,,,Kph,,,,2020,10,6,2020,11,3,243,,1500000,,1500000,,,,,850000,1030232,82.5056838488024,"[{""adm1_code"":3333,""adm1_name"":""Binh Dinh""},{""adm1_code"":3340,""adm1_name"":""Da Nang City""},{""adm1_code"":3344,""adm1_name"":""Gia Lai""},{""adm1_code"":3349,""adm1_name"":""Ha Tinh""},{""adm1_code"":3357,""adm1_name"":""Kon Tum""},{""adm1_code"":3359,""adm1_name"":""Lam Dong""},{""adm1_code"":3366,""adm1_name"":""Nghe An""},{""adm1_code"":3370,""adm1_name"":""Phu Yen""},{""adm1_code"":3371,""adm1_name"":""Quang Binh""},{""adm1_code"":3372,""adm1_name"":""Quang Nam""},{""adm1_code"":3374,""adm1_name"":""Quang Ngai""},{""adm1_code"":3376,""adm1_name"":""Quang Tri""},{""adm1_code"":3383,""adm1_name"":""Thua Thien - Hue""},{""adm1_code"":73934,""adm1_name"":""Dak Lak""}]","[{""gid_1"":""VNM.15_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Đắk Lắk""},{""gid_1"":""VNM.19_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Đà Nẵng""},{""gid_1"":""VNM.21_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Gia Lai""},{""gid_1"":""VNM.29_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Hà Tĩnh""},{""gid_1"":""VNM.34_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Kon Tum""},{""gid_1"":""VNM.37_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Lâm Đồng""},{""gid_1"":""VNM.41_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Nghệ An""},{""gid_1"":""VNM.45_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Phú Yên""},{""gid_1"":""VNM.46_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Quảng Bình""},{""gid_1"":""VNM.47_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Quảng Nam""},{""gid_1"":""VNM.48_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Quảng Ngãi""},{""gid_1"":""VNM.50_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Quảng Trị""},{""gid_1"":""VNM.54_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Thừa Thiên Huế""},{""gid_1"":""VNM.8_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Bình Định""}]",2020-10-13,2025-12-20
2020-0414-MYS,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,MYS,Malaysia,South-eastern Asia,Asia,"Kota Kinabalu, Kota Belud, Tuaran, Telipok Districts (Sabah State)",,,No,No,No,,,Km2,,,,2020,10,9,2020,10,9,,,400,,400,,,,,,,82.5056838488024,"[{""adm2_code"":37408,""adm2_name"":""Kota Belud""},{""adm2_code"":37409,""adm2_name"":""Kota Kinabalu""},{""adm2_code"":37413,""adm2_name"":""Labuk \u0026 Sugut""},{""adm2_code"":37426,""adm2_name"":""Tuaran""}]","[{""gid_2"":""MYS.13.25_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Tuaran""},{""gid_2"":""MYS.13.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Beluran""},{""gid_2"":""MYS.13.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Kota Belud""},{""gid_2"":""MYS.13.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""bufhaus2"",""name_2"":""Kota Kinabalu""}]",2020-10-13,2025-12-20
2020-0421-BEN,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,BEN,Benin,Sub-Saharan Africa,Africa,"Kandi, Karimama and Malanville (Alibori Department, north-eastern Benin)",Heavy rains,,No,No,No,,,Km2,,,Niger and Okpara rivers,2020,10,1,2020,10,2,6,,7000,,7000,,,,,,,82.5056838488024,"[{""adm2_code"":5863,""adm2_name"":""Kandi""},{""adm2_code"":5864,""adm2_name"":""Karimama""},{""adm2_code"":5865,""adm2_name"":""Malanville""}]","[{""gid_2"":""BEN.1.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Kandi""},{""gid_2"":""BEN.1.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Karimama""},{""gid_2"":""BEN.1.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Malanville""}]",2020-10-14,2025-12-20
2020-0425-CHN,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Nangka' (Nika),CHN,China,Eastern Asia,Asia,Hainan Island (southern China),,Transport accident,No,No,No,,,Kph,,,,2020,10,13,2020,10,14,6,,,,,,,,,14000,16969,82.5056838488024,"[{""adm1_code"":906,""adm1_name"":""Hainan Sheng""}]","[{""gid_1"":""CHN.9_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Hainan""}]",2020-10-14,2025-12-20
2020-0429-IDN,No,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,IDN,Indonesia,South-eastern Asia,Asia,North Tarakan and Central Tarakan (North Kalimantan Province),Heavy rains and high winds,,No,No,No,,,,,,,2020,9,28,2020,9,28,11,,170,,170,,,,,,,82.5056838488024,"[{""adm2_code"":73755,""adm2_name"":""Kota Tarakan""}]","[{""gid_2"":""IDN.35.14"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Tarakan""}]",2020-10-15,2025-12-20
2020-0438-USA,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane 'Sally',USA,United States of America,Northern America,Americas,"Alabama, Florida",,Flood,No,No,Yes,,165,Kph,,,,2020,9,11,2020,9,18,8,,,,,,,3500000,4242132,6300000,7635838,82.5056838488024,"[{""adm1_code"":3214,""adm1_name"":""Alabama""},{""adm1_code"":3223,""adm1_name"":""Florida""}]","[{""gid_1"":""USA.10_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Florida""},{""gid_1"":""USA.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Alabama""}]",2020-10-15,2025-12-20
2020-0498-VEN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,VEN,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,Tachira State,Hurricane Iota,,No,No,No,,,Km2,,,,2020,11,8,2020,11,17,3,,3690,,3690,,,,,30000,36361,82.5056838488024,"[{""adm1_code"":3322,""adm1_name"":""Tachira""}]","[{""gid_1"":""VEN.21_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Táchira""}]",2020-11-24,2025-12-20
2020-0441-USA,No,nat-cli-wil-for,Natural,Climatological,Wildfire,Forest fire,,August Complex fire,USA,United States of America,Northern America,Americas,"Californie, Washington, Oregon, Colorado",,,No,No,No,,,Km2,,,,2020,8,16,2020,10,1,32,,,,,,,7500000,9090283,11000000,13332415,82.5056838488024,"[{""adm1_code"":3218,""adm1_name"":""California""},{""adm1_code"":3219,""adm1_name"":""Colorado""},{""adm1_code"":3251,""adm1_name"":""Oregon""},{""adm1_code"":3261,""adm1_name"":""Washington""}]","[{""gid_1"":""USA.38_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Oregon""},{""gid_1"":""USA.48_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Washington""},{""gid_1"":""USA.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""California""},{""gid_1"":""USA.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Colorado""}]",2020-10-15,2025-12-20
2020-0474-GTM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2020-000218|GLIDE:TC-2020-000220|GLIDE:TC-2020-000224,Hurricane 'Eta',GTM,Guatemala,Latin America and the Caribbean,Americas,"Alta Verapaz,Petén, Quiché, Sololá, Izabal, Chiquimula, Zacapa, Jutiapa, El Progreso, Santa Rosa departments",,"Flood|Slide (land, mud, snow, rock)",No,No,Yes,,,Kph,,,,2020,11,3,2020,11,4,160,30,2415858,,2415888,,,,,386000,467847,82.5056838488024,"[{""adm1_code"":64822,""adm1_name"":""El Progreso""},{""adm1_code"":64826,""adm1_name"":""Santa Rosa""},{""adm1_code"":64827,""adm1_name"":""Sololá""},{""adm1_code"":64834,""adm1_name"":""Quiché""},{""adm1_code"":64836,""adm1_name"":""Alta Verapaz""},{""adm1_code"":64837,""adm1_name"":""Petén""},{""adm1_code"":64838,""adm1_name"":""Izabal""},{""adm1_code"":64839,""adm1_name"":""Zacapa""},{""adm1_code"":64840,""adm1_name"":""Chiquimula""},{""adm1_code"":64842,""adm1_name"":""Jutiapa""}]","[{""gid_1"":""GTM.11_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Jutiapa""},{""gid_1"":""GTM.12_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Petén""},{""gid_1"":""GTM.14_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Quiché""},{""gid_1"":""GTM.18_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Santa Rosa""},{""gid_1"":""GTM.19_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Sololá""},{""gid_1"":""GTM.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Alta Verapaz""},{""gid_1"":""GTM.22_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Zacapa""},{""gid_1"":""GTM.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Chiquimula""},{""gid_1"":""GTM.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""El Progreso""},{""gid_1"":""GTM.9_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Izabal""}]",2020-11-05,2025-12-20
2020-0474-PAN,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2020-000218|GLIDE:TC-2020-000220|GLIDE:TC-2020-000224,Hurricane 'Eta',PAN,Panama,Latin America and the Caribbean,Americas,"Bocas del Toro, Chiriquí, Coclé, Colón, Comarca Ngäbe Buglé, Herrera, Veraguas",,,No,No,No,,,Kph,,,,2020,11,3,2020,11,4,79,,5000,,5000,,,,,11000,13332,82.5056838488024,"[{""adm1_code"":2282,""adm1_name"":""Coclé""},{""adm1_code"":2283,""adm1_name"":""Colón""},{""adm1_code"":2286,""adm1_name"":""Herrera""},{""adm1_code"":93668,""adm1_name"":""Bocas del Toro""},{""adm1_code"":93669,""adm1_name"":""Chiriquí""},{""adm1_code"":93672,""adm1_name"":""Ngöbe Buglé""},{""adm1_code"":93673,""adm1_name"":""Veraguas""}]","[{""gid_1"":""PAN.10_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Ngöbe Buglé""},{""gid_1"":""PAN.13_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Veraguas""},{""gid_1"":""PAN.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Bocas del Toro""},{""gid_1"":""PAN.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Chiriquí""},{""gid_1"":""PAN.3_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Coclé""},{""gid_1"":""PAN.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Colón""},{""gid_1"":""PAN.7_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Herrera""}]",2020-11-05,2025-12-20
2020-0479-ECU,No,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,GLIDE:VO-2020-000205,Sangay,ECU,Ecuador,Latin America and the Caribbean,Americas,"Chimborazo, Bolivar, Guayas, Los Ríos, Santa Elena, Manabí",,,No,No,No,,,,,,,2020,9,20,2020,9,20,,,18685,,18685,,,,,,,82.5056838488024,"[{""adm1_code"":1136,""adm1_name"":""Bolivar""},{""adm1_code"":1139,""adm1_name"":""Chimborazo""},{""adm1_code"":1147,""adm1_name"":""Los Rios""},{""adm1_code"":1148,""adm1_name"":""Manabi""},{""adm1_code"":22005,""adm1_name"":""Guayas""},{""adm1_code"":22007,""adm1_name"":""Santa Elena""}]","[{""gid_1"":""ECU.10_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Guayas""},{""gid_1"":""ECU.13_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Los Rios""},{""gid_1"":""ECU.14_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Manabi""},{""gid_1"":""ECU.20_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Santa Elena""},{""gid_1"":""ECU.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Bolivar""},{""gid_1"":""ECU.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Chimborazo""}]",2020-11-05,2025-12-20
2020-0480-GIN,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),GLIDE:FL-2020-000202,,GIN,Guinea,Sub-Saharan Africa,Africa,"Bordo, Far, Senkefera 2, Madina, Salamanida, Energieako 1, Farako 2, Dalako, Briqueterie, Missira, Kokolinikoro, Djodon, Senkefera, Banankoroda, Korialen, Hermakonon, Kankancoura, Dar-es-salam, Aviation, Kabada 1, Kabada 2, Fourouban, Timbo, Gare, Metéo, Sobje, Batè Nafadji, Gbéredou Baranama, Balandou, Karifamoria, Missamana, Tintioulen, Sabadou Baranama, Moribaya, Koumban,Tokounou, Mamouroudou, Boula prefectures (Kankan)",Heavy rains,,No,No,No,,,Km2,,,,2020,9,6,2020,9,7,,5,49536,,49541,,,,,,,82.5056838488024,"[{""adm1_code"":40703,""adm1_name"":""Kankan""}]","[{""gid_1"":""GIN.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Kankan""}]",2020-11-05,2025-12-20
2020-0487-SOM,No,nat-met-sto-tro,Natural,Meteorological,Storm,Tropical cyclone,GLIDE:TC-2020-000232,Tropical cyclone 'Gati',SOM,Somalia,Sub-Saharan Africa,Africa,"Xaaf uun, Dul Xaaf uun, Dardaare, Garan, Baarmadowe, Hurdiya, Foocaar, Afdhicin, Haluula, Kurduush, Gumbax, Taageer , Xandha (Iskushuban district, Bari Province, Puntland state)",,Flood|Surge,No,No,No,,165,Kph,,,,2020,11,22,2020,11,23,9,,120000,,120000,,,,,,,82.5056838488024,"[{""adm2_code"":25665,""adm2_name"":""Iskushuban""}]","[{""gid_2"":""SOM.4.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard2"",""name_2"":""Iskushuban""}]",2020-11-24,2025-12-20
2020-0506-MEX,No,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,MEX,Mexico,Latin America and the Caribbean,Americas,"Chiapas, Tabasco, Veracruz",Heavy rain due to the influence of Hurricane ETA,"Slide (land, mud, snow, rock)",No,No,No,,,Km2,,,,2020,11,9,2020,11,10,27,,90000,,90000,,,,,,,82.5056838488024,"[{""adm1_code"":2032,""adm1_name"":""Chiapas""},{""adm1_code"":2054,""adm1_name"":""Tabasco""},{""adm1_code"":2057,""adm1_name"":""Veracruz""}]","[{""gid_1"":""MEX.27_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Tabasco""},{""gid_1"":""MEX.30_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Veracruz""},{""gid_1"":""MEX.5_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Chiapas""}]",2020-11-24,2025-12-20
2020-9570-NER,No,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,NER,Niger,Sub-Saharan Africa,Africa,"Diffa, Tahoua, Zinder, Maradi, Agadez, Tillabéri regions",,Food shortage,No,No,No,,,Km2,,,,2020,,,2020,12,23,,,3700000,,3700000,,,,,,,82.5056838488024,"[{""adm1_code"":2202,""adm1_name"":""Agadez""},{""adm1_code"":2203,""adm1_name"":""Diffa""},{""adm1_code"":2205,""adm1_name"":""Maradi""},{""adm1_code"":2207,""adm1_name"":""Tahoua""},{""adm1_code"":2208,""adm1_name"":""Tillaberi""},{""adm1_code"":2209,""adm1_name"":""Zinder""}]","[{""gid_1"":""NER.1_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Agadez""},{""gid_1"":""NER.2_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Diffa""},{""gid_1"":""NER.4_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Maradi""},{""gid_1"":""NER.6_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Tahoua""},{""gid_1"":""NER.7_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Tillabéry""},{""gid_1"":""NER.8_1"",""migration_date"":""2025-12-20"",""migration_method"":""jaccard1"",""name_1"":""Zinder""}]",2020-12-23,2025-12-20
